total_orders,returned_orders,return_rate,cancelled_orders,avg_order_value,seller_total_sales,seller_returns,seller_return_rate,avg_rating,negative_review_percent,reviews_same_seller,repeated_review_similarity,fraud_label,fraud_type
107,51,0.477,28,77320,1658,121,0.073,1.62,5.81,24,0.334,0,NONE
108,23,0.213,2,67721,1352,769,0.569,3.89,93.86,2,0.182,0,NONE
25,0,0.0,3,29193,272,88,0.324,2.16,61.19,42,0.047,0,NONE
64,15,0.234,14,66225,977,562,0.575,2.53,98.32,3,0.86,1,REPEATED_REVIEW
11,4,0.364,0,11127,620,315,0.508,3.25,38.54,26,0.098,0,NONE
88,59,0.67,6,49055,528,263,0.498,1.14,90.93,36,0.182,1,SELLER_SUSPICIOUS
8,1,0.125,1,77689,585,105,0.179,3.27,3.13,18,0.775,0,NONE
38,9,0.237,3,33106,835,270,0.323,1.35,19.6,40,0.845,0,NONE
113,81,0.717,23,12685,236,123,0.521,2.1,29.63,45,0.075,0,NONE
75,8,0.107,0,68063,667,62,0.093,4.26,70.69,35,0.79,0,NONE
9,1,0.111,0,65005,60,27,0.45,4.45,62.33,34,0.095,0,NONE
27,4,0.148,2,63835,745,461,0.619,4.4,72.17,14,0.494,0,NONE
13,9,0.692,1,23919,1504,863,0.574,3.55,31.44,32,0.696,1,SELLER_SUSPICIOUS
105,22,0.21,6,56544,1698,540,0.318,1.92,7.7,22,0.88,0,NONE
46,5,0.109,11,69663,1383,797,0.576,4.53,32.43,28,0.356,0,NONE
66,32,0.485,0,67342,652,115,0.176,2.41,30.48,6,0.511,0,NONE
13,4,0.308,0,14045,703,151,0.215,4.77,32.32,32,0.558,0,NONE
56,11,0.196,13,65818,1429,386,0.27,2.2,28.48,17,0.267,0,NONE
6,1,0.167,0,1354,1779,384,0.216,1.96,14.49,44,0.448,0,NONE
74,31,0.419,3,53162,222,122,0.55,1.97,80.31,5,0.632,1,SELLER_SUSPICIOUS
74,21,0.284,10,23171,628,200,0.318,2.28,18.65,29,0.858,0,NONE
63,35,0.556,2,11911,883,488,0.553,3.76,38.67,18,0.838,1,SELLER_SUSPICIOUS
15,11,0.733,0,39884,1989,150,0.075,3.17,69.58,7,0.66,1,RETURN_ABUSE
94,59,0.628,16,2549,916,303,0.331,4.86,55.83,32,0.633,1,SELLER_SUSPICIOUS
13,8,0.615,2,43142,835,207,0.248,4.59,88.71,33,0.642,1,RETURN_ABUSE
79,48,0.608,7,6039,1465,103,0.07,3.43,0.92,25,0.664,0,NONE
97,17,0.175,13,78005,841,162,0.193,3.61,22.43,33,0.018,0,NONE
18,4,0.222,3,59371,1939,1158,0.597,3.88,30.81,48,0.094,0,NONE
119,85,0.714,21,7393,1713,37,0.022,4.92,48.67,8,0.631,1,RETURN_ABUSE
102,20,0.196,29,40290,979,480,0.49,1.78,72.25,19,0.572,0,NONE
68,48,0.706,16,56991,1263,157,0.124,4.82,91.49,35,0.748,1,RETURN_ABUSE
41,23,0.561,0,801,200,94,0.47,4.85,85.3,21,0.191,1,SELLER_SUSPICIOUS
37,2,0.054,1,35084,1778,565,0.318,3.78,57.01,24,0.209,0,NONE
51,21,0.412,6,36277,1682,154,0.092,2.18,32.26,40,0.697,0,NONE
47,28,0.596,9,19690,557,354,0.636,2.02,61.15,7,0.502,1,SELLER_SUSPICIOUS
49,19,0.388,0,78075,531,141,0.266,4.56,33.8,28,0.579,0,NONE
36,22,0.611,5,53421,594,189,0.318,2.15,59.08,22,0.25,0,NONE
46,5,0.109,5,15838,463,100,0.216,3.09,77.0,44,0.965,0,NONE
107,67,0.626,5,66912,1011,349,0.345,3.16,63.74,16,0.976,1,REPEATED_REVIEW
110,29,0.264,18,74347,850,57,0.067,1.31,2.54,23,0.428,0,NONE
16,4,0.25,0,67117,653,0,0.0,2.77,23.98,48,0.183,0,NONE
113,0,0.0,15,14000,723,446,0.617,2.74,73.0,3,0.248,0,NONE
20,2,0.1,4,73289,716,284,0.397,1.46,4.6,49,0.311,0,NONE
66,51,0.773,4,44419,237,84,0.354,2.89,17.32,30,0.65,1,SELLER_SUSPICIOUS
14,5,0.357,0,68885,1223,222,0.182,1.06,93.34,32,0.856,1,REPEATED_REVIEW
73,44,0.603,3,28163,811,335,0.413,3.57,2.65,32,0.94,1,REPEATED_REVIEW
28,11,0.393,1,12438,399,32,0.08,2.83,54.56,37,0.626,0,NONE
69,32,0.464,7,69949,1086,555,0.511,2.1,21.46,46,0.018,0,NONE
119,34,0.286,22,25851,624,409,0.655,3.73,34.06,41,0.496,0,NONE
62,44,0.71,10,912,1419,419,0.295,2.67,96.76,36,0.177,1,RETURN_ABUSE
77,23,0.299,2,18455,997,95,0.095,2.36,93.08,37,0.239,0,NONE
59,12,0.203,2,21852,1841,61,0.033,2.99,38.96,13,0.896,0,NONE
53,35,0.66,11,64432,1276,75,0.059,2.42,95.68,31,0.951,1,REPEATED_REVIEW
87,15,0.172,20,11630,1512,568,0.376,1.45,93.09,39,0.996,1,REPEATED_REVIEW
9,2,0.222,0,74960,254,74,0.291,1.47,14.3,10,0.837,0,NONE
21,12,0.571,5,2042,1217,652,0.536,1.89,39.67,27,0.706,1,SELLER_SUSPICIOUS
9,4,0.444,0,55193,358,135,0.377,2.5,37.06,17,0.947,1,REPEATED_REVIEW
93,44,0.473,3,36409,1295,414,0.32,2.93,37.8,39,0.424,0,NONE
94,18,0.191,6,15985,1494,172,0.115,1.05,46.87,20,0.119,0,NONE
65,40,0.615,6,52724,406,189,0.466,2.6,47.77,25,0.869,1,REPEATED_REVIEW
42,5,0.119,9,36895,704,159,0.226,3.22,32.27,16,0.528,0,NONE
79,59,0.747,4,30854,1575,46,0.029,3.52,69.57,31,0.996,1,REPEATED_REVIEW
58,2,0.034,15,41930,1996,970,0.486,2.12,95.04,8,0.395,0,NONE
28,20,0.714,7,9837,1391,675,0.485,2.85,35.34,28,0.078,0,NONE
45,35,0.778,10,48105,978,144,0.147,2.12,41.12,13,0.685,1,RETURN_ABUSE
33,12,0.364,2,45945,1637,882,0.539,3.9,61.34,2,0.083,0,NONE
34,17,0.5,4,1515,1844,373,0.202,4.24,98.73,49,0.377,1,RETURN_ABUSE
30,21,0.7,0,47040,1972,104,0.053,2.66,27.34,48,0.075,0,NONE
96,68,0.708,4,51112,1066,564,0.529,4.78,84.96,17,0.241,1,SELLER_SUSPICIOUS
77,45,0.584,0,45606,704,204,0.29,1.83,87.82,40,0.618,1,RETURN_ABUSE
96,71,0.74,6,14989,269,161,0.599,2.9,83.14,12,0.816,1,SELLER_SUSPICIOUS
112,4,0.036,29,24785,782,400,0.512,1.54,2.88,15,0.785,0,NONE
18,1,0.056,2,54182,122,37,0.303,3.47,98.05,34,0.637,0,NONE
83,50,0.602,1,53913,1524,983,0.645,4.64,29.8,42,0.862,1,REPEATED_REVIEW
9,4,0.444,1,55979,1444,329,0.228,4.08,6.62,5,0.98,1,REPEATED_REVIEW
57,1,0.018,12,37086,62,10,0.161,1.3,12.89,16,0.152,0,NONE
20,7,0.35,3,41740,1238,863,0.697,2.9,66.76,19,0.822,1,SELLER_SUSPICIOUS
86,41,0.477,21,79752,857,512,0.597,3.14,35.6,46,0.364,1,SELLER_SUSPICIOUS
82,44,0.537,8,23821,268,46,0.172,3.51,8.18,30,0.157,0,NONE
52,16,0.308,9,64791,1300,7,0.005,3.99,18.45,15,0.537,0,NONE
60,21,0.35,13,29199,97,1,0.01,3.99,3.67,7,0.687,0,NONE
27,13,0.481,2,39138,1551,805,0.519,3.13,24.25,25,0.737,1,SELLER_SUSPICIOUS
32,9,0.281,6,50948,1274,85,0.067,2.31,11.98,17,0.343,0,NONE
29,3,0.103,1,74294,252,108,0.429,2.92,58.42,22,0.587,0,NONE
12,7,0.583,0,23775,614,41,0.067,2.14,36.31,26,0.608,0,NONE
63,44,0.698,5,4312,1420,288,0.203,1.03,22.53,6,0.246,0,NONE
8,5,0.625,0,76625,1650,822,0.498,4.37,5.16,31,0.41,1,SELLER_SUSPICIOUS
40,23,0.575,5,41927,1775,74,0.042,4.46,81.71,49,0.491,1,RETURN_ABUSE
106,50,0.472,29,53941,866,391,0.452,2.91,83.86,5,0.187,1,SELLER_SUSPICIOUS
72,18,0.25,19,49876,551,112,0.203,3.12,70.72,14,0.289,0,NONE
41,29,0.707,10,32754,1911,844,0.442,3.13,5.18,10,0.549,1,SELLER_SUSPICIOUS
14,1,0.071,0,5787,1685,320,0.19,1.56,0.27,9,0.596,0,NONE
28,5,0.179,6,36758,1649,1118,0.678,4.72,83.06,44,0.409,1,SELLER_SUSPICIOUS
79,8,0.101,1,74198,1590,512,0.322,3.96,57.45,29,0.14,0,NONE
109,13,0.119,27,16024,24,2,0.083,3.66,52.31,4,0.316,0,NONE
46,24,0.522,1,43803,1883,615,0.327,2.51,46.27,38,0.54,1,SELLER_SUSPICIOUS
67,14,0.209,0,19596,164,96,0.585,2.57,53.19,40,0.229,0,NONE
43,5,0.116,5,25019,573,14,0.024,4.51,49.54,30,0.894,0,NONE
40,28,0.7,5,67156,1040,410,0.394,3.98,3.35,22,0.714,1,SELLER_SUSPICIOUS
9,2,0.222,1,44372,1161,805,0.693,3.15,37.88,45,0.127,0,NONE
60,14,0.233,7,65272,1200,46,0.038,2.64,77.19,27,0.641,0,NONE
119,35,0.294,25,71815,30,9,0.3,2.37,22.74,23,0.462,0,NONE
50,11,0.22,9,76416,1659,957,0.577,1.4,25.6,40,0.872,1,REPEATED_REVIEW
80,43,0.537,3,65144,907,126,0.139,1.61,57.63,9,0.424,0,NONE
33,13,0.394,7,69404,1769,778,0.44,2.8,11.32,21,0.166,0,NONE
40,21,0.525,6,19756,1044,566,0.542,1.91,60.79,47,0.055,0,NONE
13,9,0.692,0,13724,1846,574,0.311,2.66,86.35,38,0.346,1,SELLER_SUSPICIOUS
86,33,0.384,16,7283,958,178,0.186,1.99,57.76,6,0.034,0,NONE
37,16,0.432,10,5257,685,155,0.226,1.85,51.52,17,0.961,1,REPEATED_REVIEW
53,19,0.358,5,25417,495,62,0.125,4.99,50.22,1,0.31,0,NONE
98,50,0.51,26,34219,742,317,0.427,1.82,19.07,45,0.378,0,NONE
20,7,0.35,2,18949,788,370,0.47,2.81,52.44,28,0.481,0,NONE
98,37,0.378,18,65655,1940,1287,0.663,4.45,94.61,32,0.272,1,SELLER_SUSPICIOUS
87,33,0.379,0,26899,1221,390,0.319,3.64,2.71,3,0.231,0,NONE
63,7,0.111,14,69336,598,50,0.084,3.61,23.82,34,0.805,0,NONE
92,31,0.337,23,12675,471,164,0.348,1.56,40.64,48,0.087,0,NONE
78,6,0.077,0,2698,1128,146,0.129,1.49,87.64,29,0.421,0,NONE
6,0,0.0,0,23736,1959,745,0.38,4.3,36.31,12,0.831,0,NONE
41,5,0.122,8,63016,959,499,0.52,4.9,77.98,17,0.868,1,REPEATED_REVIEW
63,45,0.714,16,29029,1158,208,0.18,2.07,54.16,45,0.403,1,RETURN_ABUSE
77,53,0.688,21,52193,23,9,0.391,3.1,17.17,23,0.683,1,SELLER_SUSPICIOUS
74,17,0.23,20,38743,60,37,0.617,1.27,40.52,38,0.83,1,SELLER_SUSPICIOUS
91,26,0.286,24,29902,187,97,0.519,3.4,66.5,7,0.573,1,SELLER_SUSPICIOUS
21,9,0.429,4,29873,653,45,0.069,1.19,16.63,43,0.184,0,NONE
57,35,0.614,10,72855,1156,186,0.161,2.19,56.64,34,0.397,0,NONE
28,21,0.75,5,22292,1805,750,0.416,2.05,59.51,43,0.846,1,SELLER_SUSPICIOUS
113,72,0.637,25,2024,92,8,0.087,2.41,41.28,43,0.598,1,RETURN_ABUSE
29,6,0.207,2,45686,1541,107,0.069,3.78,27.21,34,0.103,0,NONE
105,43,0.41,26,70126,836,16,0.019,4.8,44.6,47,0.087,0,NONE
84,7,0.083,20,11844,1770,373,0.211,3.55,98.06,18,0.489,0,NONE
19,10,0.526,1,28435,797,15,0.019,4.7,18.06,21,0.473,0,NONE
11,5,0.455,2,9320,1562,136,0.087,1.77,11.53,23,0.795,0,NONE
99,38,0.384,2,37765,1486,614,0.413,1.15,59.63,35,0.561,1,SELLER_SUSPICIOUS
49,33,0.673,2,3483,1005,182,0.181,2.62,57.24,49,0.538,1,RETURN_ABUSE
90,24,0.267,12,27845,1204,15,0.012,2.71,87.67,2,0.024,0,NONE
46,33,0.717,10,29930,1824,1164,0.638,2.54,93.26,39,0.009,1,SELLER_SUSPICIOUS
33,16,0.485,4,62687,716,271,0.378,4.49,98.41,10,0.092,0,NONE
107,83,0.776,4,11316,1732,2,0.001,2.87,29.7,4,0.716,1,RETURN_ABUSE
41,24,0.585,0,35900,418,139,0.333,4.83,79.8,37,0.089,0,NONE
74,38,0.514,13,30257,1888,225,0.119,1.67,99.12,8,0.943,1,REPEATED_REVIEW
67,52,0.776,18,34657,1373,106,0.077,1.71,22.05,49,0.957,1,REPEATED_REVIEW
10,4,0.4,0,74281,1090,726,0.666,4.54,92.78,49,0.174,1,SELLER_SUSPICIOUS
110,34,0.309,17,27185,1188,215,0.181,4.59,46.34,13,0.224,0,NONE
115,88,0.765,8,35201,1400,609,0.435,2.83,39.12,28,0.477,1,SELLER_SUSPICIOUS
71,24,0.338,1,26431,189,8,0.042,2.32,93.16,11,0.087,0,NONE
92,37,0.402,7,22254,1944,1199,0.617,2.98,8.1,48,0.683,1,SELLER_SUSPICIOUS
73,12,0.164,16,10016,243,61,0.251,3.37,82.47,40,0.678,0,NONE
95,32,0.337,5,7814,355,167,0.47,1.98,15.73,48,0.708,0,NONE
111,44,0.396,24,26792,1213,355,0.293,3.47,75.27,7,0.882,1,REPEATED_REVIEW
49,30,0.612,6,78749,1437,671,0.467,2.34,74.35,31,0.001,0,NONE
6,1,0.167,0,58432,1567,294,0.188,1.77,8.41,27,0.981,0,NONE
21,7,0.333,1,13487,467,162,0.347,1.51,28.33,7,0.541,0,NONE
100,62,0.62,27,27160,1008,277,0.275,4.75,68.79,4,0.301,1,RETURN_ABUSE
21,11,0.524,5,64388,1949,885,0.454,2.38,62.09,18,0.872,1,REPEATED_REVIEW
68,46,0.676,11,77975,782,226,0.289,3.38,38.36,29,0.022,0,NONE
10,6,0.6,2,27582,589,25,0.042,1.64,46.85,4,0.426,0,NONE
17,8,0.471,4,76432,1118,129,0.115,4.09,23.01,11,0.273,0,NONE
85,55,0.647,20,39714,888,83,0.093,2.59,27.42,3,0.312,0,NONE
62,37,0.597,14,77461,1206,831,0.689,4.47,71.49,18,0.864,1,REPEATED_REVIEW
84,26,0.31,7,22063,449,144,0.321,1.36,15.37,27,0.845,0,NONE
75,2,0.027,11,6155,1871,377,0.201,3.47,79.65,25,0.001,0,NONE
75,16,0.213,11,51527,1783,520,0.292,1.8,49.16,22,0.582,0,NONE
6,3,0.5,0,30259,1760,720,0.409,1.05,7.24,18,0.48,0,NONE
99,37,0.374,10,22304,748,101,0.135,4.63,72.43,24,0.146,0,NONE
80,56,0.7,13,39059,1506,591,0.392,2.93,21.03,33,0.56,1,SELLER_SUSPICIOUS
36,17,0.472,0,49653,244,32,0.131,4.53,8.25,13,0.079,0,NONE
26,6,0.231,1,23898,109,45,0.413,3.77,82.14,42,0.167,0,NONE
53,39,0.736,10,58160,654,389,0.595,3.38,61.66,31,0.541,1,SELLER_SUSPICIOUS
118,75,0.636,7,26789,1903,1107,0.582,2.36,81.48,7,0.661,1,SELLER_SUSPICIOUS
84,3,0.036,5,28461,41,25,0.61,2.92,4.08,42,0.439,0,NONE
86,11,0.128,22,2060,1344,242,0.18,1.88,97.59,36,0.744,0,NONE
97,52,0.536,22,20549,933,548,0.587,4.99,97.48,3,0.082,1,SELLER_SUSPICIOUS
119,34,0.286,28,16809,1250,352,0.282,4.36,17.42,21,0.727,0,NONE
65,23,0.354,4,78839,751,363,0.483,4.07,50.48,49,0.514,0,NONE
109,35,0.321,25,32360,885,511,0.577,3.42,59.77,36,0.422,1,SELLER_SUSPICIOUS
46,11,0.239,2,48864,549,39,0.071,4.34,23.58,26,0.716,0,NONE
116,86,0.741,13,49653,394,40,0.102,1.99,87.07,47,0.593,1,RETURN_ABUSE
107,83,0.776,1,69850,857,144,0.168,2.56,96.94,2,0.858,1,REPEATED_REVIEW
9,6,0.667,0,22427,479,163,0.34,4.88,45.38,11,0.884,1,REPEATED_REVIEW
18,9,0.5,4,77119,881,360,0.409,2.72,24.87,43,0.949,1,REPEATED_REVIEW
61,19,0.311,10,55704,706,484,0.686,3.13,78.18,44,0.446,1,SELLER_SUSPICIOUS
115,78,0.678,5,1119,1294,881,0.681,4.95,12.3,37,0.937,1,REPEATED_REVIEW
33,0,0.0,6,1558,217,58,0.267,2.26,50.72,14,0.688,0,NONE
24,17,0.708,2,66161,236,49,0.208,4.89,58.01,47,0.522,1,RETURN_ABUSE
27,11,0.407,5,12615,170,44,0.259,1.57,93.98,8,0.97,1,REPEATED_REVIEW
5,2,0.4,0,23696,1395,357,0.256,4.47,17.71,34,0.662,0,NONE
94,42,0.447,9,55909,1188,537,0.452,4.48,57.06,12,0.113,0,NONE
93,45,0.484,3,32390,1330,653,0.491,2.58,65.12,26,0.349,1,SELLER_SUSPICIOUS
70,49,0.7,5,6204,1204,680,0.565,4.97,75.24,13,0.289,1,SELLER_SUSPICIOUS
79,3,0.038,1,29665,1687,18,0.011,4.23,76.23,41,0.317,0,NONE
113,74,0.655,0,1867,841,454,0.54,1.02,32.46,12,0.61,1,SELLER_SUSPICIOUS
19,4,0.211,2,36143,624,416,0.667,1.95,37.33,44,0.015,0,NONE
15,2,0.133,3,60733,981,2,0.002,3.17,95.15,2,0.479,0,NONE
97,25,0.258,24,33279,1176,303,0.258,3.32,53.36,15,0.394,0,NONE
91,69,0.758,13,60389,383,20,0.052,1.78,0.76,47,0.071,0,NONE
19,8,0.421,3,9406,70,14,0.2,1.79,47.92,19,0.101,0,NONE
72,47,0.653,20,36878,1712,750,0.438,3.13,58.09,42,0.61,1,SELLER_SUSPICIOUS
22,1,0.045,0,44096,663,89,0.134,1.49,18.11,31,0.859,0,NONE
43,12,0.279,6,19243,1284,444,0.346,2.03,96.29,4,0.087,0,NONE
58,0,0.0,11,71531,1728,558,0.323,4.81,60.16,21,0.884,0,NONE
13,9,0.692,0,76653,1676,681,0.406,4.6,35.34,26,0.256,1,SELLER_SUSPICIOUS
72,49,0.681,18,36951,1103,166,0.15,3.67,9.55,36,0.15,0,NONE
